id,name,rating,zip,lat,long,price
pHfsXEPHkGXkmGo-PbwB6w,Keki Modern Cakes,4,10013,40.71656,-73.99822,$$
H7QoApSloy7Zu0LFpQVv-A,Keki Modern Cakes,4.5,10016,40.7468603,-73.984986,$$
UZViRVpxNZvOM5KarmbT1g,Sweet Moment,4.5,10013,40.71763,-73.99714,$$
qXuUBEaib4caLC6WCPhBjA,Patisserie Tomoko,4.5,11211,40.7176114,-73.9519192,$$
MKYhiSeXjahxh9O4Gqnimw,Grace Street,4,10001,40.74785768,-73.98655906,$$
WtDTHppOGbmRc06gBEHrGg,Ando Patisserie,3.5,10003,40.72933744,-73.9859631,N/A
TPBTUvbBVUfJeEWWy1o1QQ,Sundaes and Cones,4.5,10003,40.730934,-73.989318,$$
h_Si6JQ1PqzomAVPvk9ydg,Namas Tea Garden,4.5,11216,40.67264,-73.94987,$$
aoaH3DJub24MkqMsBzew-Q,Semicolon Cafe,4.5,10016,40.74624359,-73.978102,N/A
UVlVOcCpV4qEfA_vo2BNdg,Cheesecake Diva,4.5,11209,40.632459,-74.02709,$$
SMP3AT9mc_7WamIQLiLGwg,Noon Tea Creperie,4.5,7940,40.75887,-74.415432,$
hF_JZjHeozQU4zT4mFPhbA,Xin Xing Desserts,4.5,10462,40.839308,-73.858289,N/A
v3eUa8OR5npHBXv9VsZxrA,JM Cake Boutique,5,11204,40.61475,-73.9944,N/A
_rrieiWyBSSmhzYg2JrK5g,Yugen Sushi,5,11237,40.69887,-73.91672,N/A
XIgPWKIQMndUQlSXZM3vrQ,E's Cake Shop,4.5,11228,40.611049,-74.009484,N/A
ZSzJiWKmcf2KSgx1_MN0lg,Chakra Japanese Fusion,4,11355,40.743631,-73.825962,$$
MTtqSunPEZwdCJFMHsiHzg,Ai Ki Ya,4,10001,40.74873,-73.98705,N/A
xrnk8mgoV7up6fauVmugpw,Jun-Men Ramen Bar,4,10001,40.748209,-74.00047,$$
hwe3Jhpt8ojZ9Sdb3BvxLg,Ohkami Ramen,4.5,10312,40.5449208,-74.16535143,$$
lN5tiN-4eBNeh8F0zcI6Hw,Fuyu Ramen,4.5,11104,40.7434146,-73.9182384,$$
GBTetglMK4I8SA8UDL_eew,Suzi Cakes,4.5,7960,40.79749,-74.47752,$$
4Yd9De70J-Hcd3jfTjzG8w,Miso Ramen and Hibachi,4,11501,40.73897,-73.64024,$$
Is6-29EMbdjJEhz8ki-8rQ,Kinton Ramen,3.5,10917,41.317205,-74.128593,$$
